OCD,Ableism,Neurodivergent,High,"Trivializes a serious clinical disorder. Try ""detail-oriented"" or ""meticulous""."
bipolar,Ableism,Mental health disabilities,High,"Trivializes a clinical diagnosis. Try ""fluctuating"" or ""unpredictable""."
lame,Ableism,People with physical disabilities,High,"Historically used against people with mobility issues. Try ""uncool"" or ""bad""."
dumb,Ableism,People with speech/cognitive disabilities,Low,"Historically used against people unable to speak. Try ""foolish""."
tone-deaf,Ableism,People with hearing disabilities,Low,"Uses disability as a metaphor for insensitivity. Try ""insensitive""."
spaz,Ableism,People with physical disabilities,High,"A highly offensive slur in many regions derived from ""spastic""."
crippled,Ableism,People with physical disabilities,High,"An outdated and offensive term. Try ""broken"" or ""impaired"" (for systems)."
guys,Gendered language,Non-men,Low,"Assumes male as the default. Try ""team"""," ""folks"""," or ""everyone""."
mankind,Gendered language,Non-men,Medium,"Excludes women and non-binary people. Try ""humanity"" or ""people""."
manpower,Gendered language,Non-men,Medium,"Gendered term for labor. Try ""workforce"" or ""staffing""."
chairman,Gendered language,Non-men,Low,"Gendered title. Try ""chairperson"" or ""chair""."
salesman,Gendered language,Non-men,Low,"Gendered title. Try ""salesperson"" or ""sales rep""."
ladies and gentlemen,Gendered language,Non-binary,Low,"Enforces a gender binary. Try ""welcome everyone""."
Ivy League,Classism & elitism,Lower-income candidates,Medium,Creates arbitrary elitist barriers in hiring.
pedigree,Classism & elitism,Lower-income candidates,Medium,"Treats humans like show dogs; heavily classist. Try ""background""."
blue-collar,Classism & elitism,Working-class candidates,Low,Outdated class-based grouping.
low-skill,Classism & elitism,Working-class candidates,High,"Devalues essential labor. Try ""entry-level"" or ""minimum wage""."
uneducated,Classism & elitism,Working-class candidates,High,Often used to demean people without formal degrees who have practical experience.
maternity leave,Heteronormativity & caregiver bias,Fathers / LGBTQ+,Medium,"Excludes fathers and adoptive parents. Try ""parental leave""."
traditional family,Heteronormativity,LGBTQ+ / Single parents,High,Implies non-nuclear or LGBTQ+ families are abnormal.
opposite sex,Heteronormativity,Non-binary / LGBTQ+,Medium,Reinforces a strict gender binary.
brownbag,Racist origins,Black professionals,Medium,"Refers to the discriminatory ""brown paper bag"" skin-color test. Try ""lunch-and-learn""."
10x engineer,Tech Bro Culture,Collaborative workers / Juniors,High,"Creates a toxic myth that one person is worth ten; devalues teamwork. Try ""high performer""."
code monkey,Tech Bro Culture,Junior Developers,Medium,"Dehumanizes developers as mindless typists. Try ""software engineer""."
digital native,Ageism,Older workers,High,"Implies older adults cannot understand technology. Try ""tech-fluent""."
fresh blood,Ageism,Older workers,Medium,"Creepy corporate jargon that implies older workers are ""stale"". Try ""new perspectives""."
young blood,Ageism,Older workers,Medium,"Directly excludes experienced candidates. Try ""new talent""."
over the hill,Ageism,Older workers,High,"Deeply disrespectful trope about aging. Try ""experienced""."
seasoned,Ageism,Older workers,Low,While often meant as a compliment," it can unconsciously trigger age bias. Try ""experienced""."
sunset,Ageism / Corporate Jargon,Older workers,Low,When applied to people (e.g.," ""sunsetting older staff"")"," it is highly inappropriate. Try ""retiring"" or ""phasing out""."
spirit animal,Cultural appropriation,Indigenous peoples,High,"Appropriates sacred Indigenous traditions for trivial preferences. Try ""kindred spirit"" or ""favorite""."
powwow,Cultural appropriation,Indigenous peoples,High,"Appropriates a sacred gathering for a quick corporate meeting. Try ""huddle"" or ""quick sync""."
tribe,Cultural appropriation,Indigenous peoples,Medium,"When used in corporate settings (""marketing tribe"")"," it appropriates Indigenous culture. Try ""team"" or ""community""."
guru,Cultural appropriation,South Asian / Hindu,Low,"Appropriates a respected spiritual title for corporate roles. Try ""specialist""."
ninja,Corporate Culture,Older workers / Caregivers,Medium,"Used in tech to demand overwork and exclude those who do not fit a young/aggressive stereotype. Try ""expert""."
rockstar,Corporate Culture,Introverts / Older workers,Medium,"Promotes an exclusionary culture that values ego over collaboration. Try ""top performer""."
open the kimono,Racist origins / Sexism,Asian / Women,High,"Deeply inappropriate 80s corporate jargon with racist and sexist undertones. Try ""full transparency""."
peanut gallery,Racist origins,Black professionals,Medium,Historically referred to the segregated," cheapest seats in a theater. Try ""audience"" or ""unsolicited opinions""."
sold down the river,Racist origins,Black professionals,High,"Directly refers to the domestic slave trade. Try ""betrayed"" or ""thrown under the bus""."
grandfathered in,Racist origins,BIPOC,Medium,"Originates from post-Civil War voting laws designed to disenfranchise Black voters. Try ""exempted"" or ""legacy status""."
tipping point,Racist origins,BIPOC,Low,"Originally popularized to describe white flight from neighborhoods when minorities moved in. Try ""turning point""."
uppity,Racist origins,Black professionals,High,"Historically used to describe Black people who did not ""know their place"". Try ""arrogant"" (if applicable) or avoid entirely."
master,Tech Jargon,Black professionals,Medium,"Historical reference to slavery when used with 'slave' architecture. Try ""primary""."
slave,Tech Jargon,Black professionals,High,"Historical reference to slavery. Try ""replica"" or ""secondary""."
blacklist,Tech Jargon,BIPOC,Medium,"Equates ""black"" with ""bad"" or ""blocked"". Try ""blocklist"" or ""denylist""."
whitelist,Tech Jargon,BIPOC,Medium,"Equates ""white"" with ""good"" or ""allowed"". Try ""allowlist"" or ""safelist""."
man hours,Gender bias,Women / Non-binary,Low,"Exclusionary default to male phrasing. Try ""person-hours"" or ""engineering hours""."
man the desk,Gender bias,Women / Non-binary,Low,"Gendered phrase for covering a shift. Try ""staff the desk"" or ""cover the desk""."
man up,Gender bias,Men / Non-binary,High,"Toxic masculinity trope that equates emotional suppression with strength. Try ""be brave"" or ""take responsibility""."
guys,Gender bias,Women / Non-binary,Low,While often used neutrally," it defaults to male. Try ""team"""," ""folks"""," or ""everyone""."
female doctor,Gender bias,Women,Medium,"Implies doctors are inherently male and females are an exception. Try ""doctor""."
male nurse,Gender bias,Men,Medium,"Implies nurses are inherently female and males are an exception. Try ""nurse""."
working mom,Gender bias,Women,Medium,"Reinforces that mothers working is an exception (""working dad"" is rarely used). Try ""parent"" or ""employee""."
family man,Gender bias,Men,Low,"Often used to boost male candidates while women with children are penalized. Try ""devoted parent""."
sweetie,Sexism,Women,High,Infantilizing and deeply inappropriate in a professional setting.
honey,Sexism,Women,High,Infantilizing and deeply inappropriate in a professional setting.
girls,Sexism,Women,Medium,When used to describe adult women in the workplace," it is infantilizing. Try ""women"" or ""team""."
blind spot,Ableism,Visually impaired,Low,"Uses disability as a negative metaphor for ignorance. Try ""oversight"" or ""unseen area""."
tone deaf,Ableism,Hearing impaired,Medium,"Uses disability to describe insensitivity. Try ""out of touch"" or ""insensitive""."
turn a blind eye,Ableism,Visually impaired,Medium,"Equates blindness with willful ignorance. Try ""ignore"" or ""overlook""."
fall on deaf ears,Ableism,Hearing impaired,Medium,"Equates deafness with ignoring someone. Try ""be ignored""."
sanity check,Ableism,Mental Health,Medium,"Trivializes mental health struggles in a corporate setting. Try ""quick review"" or ""logic check""."
crazy,Ableism,Mental Health,Low,"Casual ableism that subtly stigmatizes mental illness. Try ""wild"" or ""unbelievable""."
insane,Ableism,Mental Health,Low,"Stigmatizing language used casually. Try ""unreasonable"" or ""intense""."
psycho,Ableism,Mental Health,High,"Deeply offensive slur regarding mental health. Try ""irrational"" or ""erratic""."
schizo,Ableism,Mental Health,High,"Deeply offensive slur regarding schizophrenia. Try ""unpredictable"" or ""chaotic""."
OCD,Ableism,Mental Health,High,"Trivializes a serious mental health condition when used to mean 'organized'. Try ""meticulous"" or ""detail-oriented""."
bipolar,Ableism,Mental Health,High,"Using a clinical diagnosis to describe unpredictable behavior is stigmatizing. Try ""fluctuating"" or ""inconsistent""."
on the spectrum,Neurodiversity,Autistic individuals,High,"Often used casually to mock someone's social skills. Try ""socially awkward"" (if accurate) or avoid entirely."
normal,Neurodiversity,Neurodivergent individuals,Medium,When used to contrast against neurodivergent people," it implies they are ""abnormal"". Try ""neurotypical""."
rain man,Neurodiversity,Autistic individuals,High,Offensive stereotype reducing neurodivergent people to savant tropes.
spaz,Ableism,Physical disabilities,High,"Derives from ""spastic"""," a highly offensive term for cerebral palsy. Try ""clumsy"" or ""hyper""."
lame,Ableism,Physical disabilities,High,"Uses a physical disability as a synonym for ""boring"" or ""bad"". Try ""uncool"" or ""boring""."
crippled,Ableism,Physical disabilities,High,"Deeply offensive slur. Try ""paralyzed"" or ""damaged"" (if referring to an object)."
dumb,Ableism,Speech/Hearing impaired,Low,"Historically meant inability to speak; now used to mean stupid. Try ""foolish"" or ""ill-advised""."
retarded,Ableism,Intellectual disabilities,High,"A severe slur. Try ""foolish"" or ""ridiculous""."
wheelchair-bound,Ableism,Physical disabilities,Medium,"Implies wheelchairs are traps rather than tools of mobility. Try ""wheelchair user""."
special needs,Ableism,Disabled individuals,Medium,"Often considered patronizing by the disabled community. Try ""disabled"" or specify the accommodation."
white trash,Classism,Lower-income candidates,High,Deeply classist and derogatory slur.
trailer park,Classism,Lower-income candidates,Medium,Used to demean people based on housing status.
inner city,Classism / Racism,BIPOC / Lower-income,Medium,Often used as a coded dog-whistle for poor minority neighborhoods.
rough neighborhood,Classism,Lower-income candidates,Low,Can be used to unfairly judge a candidate's background.
uneducated,Classism & elitism,Working-class candidates,High,Often used to demean people without formal degrees who have practical experience.
blue-collar,Classism & elitism,Working-class candidates,Low,"Outdated class-based grouping. Try ""skills-based"" or ""manual labor""."
low-skill,Classism & elitism,Working-class candidates,High,"Devalues essential labor. Try ""entry-level"" or ""minimum wage""."
pedigree,Classism & elitism,Lower-income candidates,Medium,"Treats humans like show dogs; heavily classist. Try ""background""."
Ivy League,Classism & elitism,Lower-income candidates,Medium,Creates arbitrary elitist barriers in hiring.
opposite sex,Heteronormativity,Non-binary / LGBTQ+,Medium,Reinforces a strict gender binary.
traditional family,Heteronormativity,LGBTQ+ / Single parents,High,Implies non-nuclear or LGBTQ+ families are abnormal.
maternity leave,Heteronormativity & caregiver bias,Fathers / LGBTQ+,Medium,"Excludes fathers and adoptive parents. Try ""parental leave""."
preferred pronouns,Transphobia / Gender Bias,Trans/Non-binary,Medium,"Implies a person's gender is just a ""preference"". Try ""pronouns""."
biological male,Transphobia,Trans women,High,"Often used to invalidate a trans woman's identity. Try ""cisgender man"" or ""assigned male at birth""."
biological female,Transphobia,Trans men,High,"Often used to invalidate a trans man's identity. Try ""cisgender woman"" or ""assigned female at birth""."
Trigger_Word,Dimension,Affected_Group,Severity,Explanation
move fast and break things,Tech Bro Culture,Risk averse teams and regulated industries,Medium,"Glorifies reckless execution over safety and compliance. Try ""move quickly with safeguards""."
work hard play hard,Tech Bro Culture,Caregivers and disabled workers,Medium,"Signals expectation of long hours and social pressure. Try ""sustainable high performance""."
always on culture,Tech Bro Culture,Caregivers and disabled workers,High,"Normalizes 24/7 availability and burnout. Try ""clear on call expectations""."
hustle culture,Tech Bro Culture,Neurodivergent and caregivers,Medium,"Frames overwork as virtue and shames boundaries. Try ""healthy pace""."
rise and grind,Tech Bro Culture,Caregivers and disabled workers,Low,"Signals grindset norms and ignores different schedules. Try ""focus time""."
no excuses,Tech Bro Culture,Disabled workers and caregivers,Medium,"Erases legitimate constraints and accommodation needs. Try ""problem solving mindset""."
whatever it takes,Tech Bro Culture,Disabled workers and caregivers,High,"Implies boundaryless labor and punishes accommodations. Try ""deliver within constraints""."
sleep when you are dead,Tech Bro Culture,All employees,High,"Glorifies sleep deprivation and unsafe work norms. Try ""rested teams ship better""."
burn the midnight oil,Tech Bro Culture,Caregivers and disabled workers,Medium,"Normalizes late night work as dedication. Try ""plan time realistically""."
crush the sprint,Tech Bro Culture,Neurodivergent,Low,"Aggressive framing that can exclude different work styles. Try ""complete the sprint goals""."
kill it in production,Violent corporate language,Trauma affected,Low,"Violent metaphor for performance. Try ""perform well in production""."
warrior mindset,Bro culture and militaristic,Trauma affected,Low,"Militaristic framing in workplace culture. Try ""resilient mindset""."
battle tested,Bro culture and militaristic,Trauma affected,Low,"Militaristic framing that can alienate some teams. Try ""proven in practice""."
front lines,Bro culture and militaristic,Trauma affected,Low,"Militarizes work and can trivialize real trauma. Try ""customer facing teams""."
boots on the ground,Bro culture and militaristic,Trauma affected,Low,"Militaristic metaphor for operations work. Try ""on site support""."
take no prisoners,Bro culture and militaristic,Trauma affected,Medium,"Violent metaphor that signals toxic competitiveness. Try ""be decisive""."
shock and awe,Bro culture and militaristic,Trauma affected,Medium,"References real warfare and intimidation. Try ""make a strong launch""."
dominate the market,Bro culture and militaristic,Non traditional candidates,Low,"Aggressive framing that can signal macho culture. Try ""compete effectively""."
hunter mentality,Sales culture bias,Introverts and disabled workers,Medium,"Overvalues aggressive selling style over consultative approaches. Try ""relationship building""."
aggressive closer,Sales culture bias,Women and non binary,Medium,"Rewards stereotypically masculine behavior. Try ""effective closer""."
rockstar attitude,Corporate bro culture,Introverts and collaborative workers,Medium,"Signals ego driven culture and unrealistic expectations. Try ""reliable contributor""."
ninja mentality,Corporate bro culture,Non traditional candidates,Low,"Exclusionary jargon that obscures job duties. Try ""specialist""."
10x developer,Tech Bro Culture,Collaborative workers and juniors,High,"Inflates lone hero myths and devalues teamwork. Try ""high performing engineer""."
unicorn candidate,Hiring bias,Underrepresented candidates,High,"Signals unrealistic checklist and narrow profile. Try ""must have skills""."
purple squirrel,Hiring bias,Underrepresented candidates,High,"Signals impossible requirements and narrow filters. Try ""core requirements""."
culture fit check,Cultural coding,Underrepresented candidates,High,"Often used to exclude people who differ from incumbents. Try ""values aligned""."
not a culture fit,Cultural coding,Underrepresented candidates,High,"Vague rejection that can mask bias. Try ""role requirements mismatch""."
culture add,Cultural coding,Underrepresented candidates,Medium,"Can become performative without clear criteria. Try ""brings diverse perspective""."
executive presence,Tone policing,Women and BIPOC,High,"Often a vague standard aligned to dominant norms. Try ""clear communication and influence""."
polished candidate,Classism and elitism,Working class candidates,Medium,"Can penalize accents attire or background. Try ""professional communication""."
well spoken,Classism and cultural coding,BIPOC and non native speakers,Medium,"Often implies surprise and bias about speech patterns. Try ""clear communicator""."
strong accent,Cultural coding,Non native speakers,High,"Often used to exclude even when communication is effective. Try ""communication clarity""."
native speaker preferred,Cultural coding,Non native speakers,High,"Discriminatory and often unnecessary. Try ""fluent in English""."
American born,Cultural coding,Immigrants and non citizens,High,"Discriminatory and often illegal. Try ""work authorization required""."
must be local,Cultural coding,Immigrants and caregivers,Medium,"Can exclude remote capable candidates and relocators. Try ""time zone overlap""."
must relocate quickly,Caregiver bias,Caregivers,Medium,"Disadvantages those with family constraints. Try ""relocation timeline discussion""."
always available,Caregiver bias,Caregivers and disabled workers,High,"Signals refusal of boundaries and accommodations. Try ""defined coverage hours""."
willing to travel constantly,Caregiver bias,Caregivers and disabled workers,Medium,"Excludes caregivers without flexibility. Try ""travel expectations with range""."
must have reliable transportation,Classism and disability bias,Lower income and disabled workers,Medium,"Can exclude those using public transit. Try ""can meet job location needs""."
high energy environment,Ageism and ableism,Older workers and disabled workers,Medium,"Coded ask for youthful stamina and extroversion. Try ""fast paced environment""."
fast paced environment,Ageism and ableism,Disabled workers,Low,"Can mask understaffing and unrealistic workloads. Try ""clear priorities""."
thick skin required,Tone policing and harassment risk,Women and BIPOC,High,"Signals tolerance of disrespectful culture. Try ""respectful feedback culture""."
no hand holding,Ability bias,Juniors and disabled workers,Medium,"Signals lack of support and excludes those needing onboarding. Try ""self directed with support""."
self starter only,Ability bias,Disabled workers and juniors,Medium,"Can exclude those who thrive with structured onboarding. Try ""independent once onboarded""."
hit the ground running,Hiring bias,Career changers and disabled workers,Medium,"Signals no training and penalizes non linear backgrounds. Try ""ramp up quickly with support""."
low maintenance employee,Disability bias,Disabled workers,High,"Signals resistance to accommodations and support. Try ""clear responsibilities""."
needs no supervision,Hiring bias,Neurodivergent and juniors,Low,"Unrealistic expectation and discourages mentorship. Try ""comfortable with autonomy""."
work long hours,Work life balance bias,Caregivers,High,"Directly signals overwork expectations. Try ""occasional overtime""."
weekends are expected,Work life balance bias,Caregivers,High,"Excludes those with caregiving or religious commitments. Try ""rotating coverage with notice""."
late nights are normal,Work life balance bias,Caregivers,Medium,"Normalizes burnout and excludes caregivers. Try ""planned release windows""."
must socialize after work,Inclusion and religious bias,Religious minorities and caregivers,Medium,"Pressures participation in alcohol centric culture. Try ""optional team events""."
beer pong culture,Inclusion and substance bias,Recovering addicts and religious minorities,Medium,"Centers alcohol as bonding. Try ""inclusive social options""."
Friday beers,Inclusion and substance bias,Recovering addicts and religious minorities,Low,"Alcohol centric culture signal. Try ""Friday social hour""."
boys club,Gender bias,Women and non binary,High,"Signals exclusionary environment. Try ""inclusive team culture""."
she is too emotional,Tone policing,Women,High,"Gendered dismissal of valid concerns. Try ""responded strongly""."
too sensitive,Tone policing,Women and BIPOC,Medium,"Used to dismiss feedback about harm. Try ""concerns raised""."
calm down sweetheart,Sexism,Women,High,"Infantilizing and dismissive. Try ""let us pause and discuss""."
office wife,Sexism,Women,High,"Reduces professional women to domestic roles. Try ""executive assistant"" if accurate."
mommy track,Maternal bias,Women,High,"Assumes mothers are less committed. Try ""career path preferences""."
working mother,Maternal bias,Women,Medium,"Frames motherhood as a work anomaly. Try ""parent""."
family comes first hire risk,Maternal bias,Caregivers,High,"Penalizes caregivers and violates fairness norms. Try ""schedule needs""."
she might get pregnant,Maternal bias,Women,High,"Discriminatory assumption about family planning. Try ""role requirements""."
not leadership material,Tone policing,Women and BIPOC,Medium,"Vague dismissal often influenced by bias. Try ""specific growth areas""."
too assertive for a woman,Sexism,Women,High,"Direct gendered double standard. Try ""assertive communicator""."
abrasive for her level,Sexism and tone policing,Women,Medium,"Gendered critique that lacks specifics. Try ""specific behaviors""."
bossy for a woman,Sexism,Women,Medium,"Penalizes female leadership behavior. Try ""direct""."
queen bee,Sexism,Women,Medium,"Stereotypes women as hostile to other women. Try ""conflict patterns"" with specifics."
drama queen,Sexism,Women,High,"Gendered dismissal of concerns as drama. Try ""raised repeated issues""."
emotional labor,Gender bias,Women and non binary,Low,"Can be used to offload support work onto women. Try ""team support responsibilities""."
supportive but not strategic,Gender bias,Women,Medium,"Often a biased dichotomy in reviews. Try ""scope and impact""."
needs to smile more,Sexism,Women,High,"Polices appearance and demeanor. Try ""approachable communication""."
too intense for culture,Tone policing,BIPOC and women,Medium,"Vague rejection that can mask bias. Try ""specific collaboration issues""."
not a good fit with the team,Cultural coding,Underrepresented candidates,High,"Vague phrase often used to exclude outsiders. Try ""skills mismatch""."
we want someone like us,Cultural coding,Underrepresented candidates,High,"Explicit in group bias. Try ""role aligned behaviors""."
good old boys network,Gender bias,Women and non binary,High,"Signals exclusionary advancement norms. Try ""fair promotion criteria""."
bro grammer culture,Tech Bro Culture,Women and non traditional candidates,Medium,"Signals exclusionary stereotype. Try ""inclusive engineering culture""."
code warrior,Tech Bro Culture,Collaborative workers,Low,"Hero framing over teamwork. Try ""strong engineer""."
hero developer,Tech Bro Culture,Collaborative workers,Medium,"Encourages single point of failure and overwork. Try ""team based delivery""."
lone wolf,Hiring bias,Collaborative workers,Medium,"Signals preference for antisocial work styles. Try ""independent and collaborative""."
works best alone,Hiring bias,Collaborative workers,Low,"May discourage collaboration culture. Try ""can focus independently""."
must be passionate,Class bias and burnout risk,Disabled workers and caregivers,Low,"Can become a proxy for free overtime. Try ""motivated by mission""."
missionary not mercenary,Cultural coding and classism,Working class candidates,Medium,"Shames those needing stable pay. Try ""aligned with mission""."
pay in equity only,Classism,Lower income candidates,High,"Excludes those who cannot take financial risk. Try ""competitive compensation""."
we are a family,Boundary and harassment risk,All employees,Medium,"Used to blur boundaries and tolerate overreach. Try ""supportive team""."
family atmosphere,Boundary and harassment risk,All employees,Low,"Can blur professional boundaries. Try ""collaborative environment""."
we need fresh perspectives,Ageism,Older workers,Medium,"Often used to justify replacing experienced staff. Try ""diverse perspectives""."
new generation of leaders,Ageism,Older workers,Medium,"Implies older leaders are obsolete. Try ""next cohort of leaders""."
early career only,Ageism,Older workers,High,"Excludes older applicants directly. Try ""junior level role""."
recent graduate preferred,Ageism,Older workers,High,"Excludes older candidates. Try ""entry level""."
junior minded,Ageism,Older workers,Medium,"Coded preference for youth and compliance. Try ""growth oriented""."
energetic self starter,Ageism and disability bias,Older workers and disabled workers,Medium,"Coded ask for youthful stamina. Try ""proactive""."
high stamina role,Disability bias,Disabled workers,Medium,"May exclude candidates without job related need. Try ""physical requirements"" if real."
digital native mindset,Ageism,Older workers,High,"Assumes older workers lack tech fluency. Try ""tech fluent""."
native to social media,Ageism,Older workers,Medium,"Signals youth preference. Try ""experienced with social media""."
born with a smartphone,Ageism,Older workers,Medium,"Ageist stereotype about tech adoption. Try ""comfortable with mobile tools""."
up and coming leader,Ageism,Older workers,Low,"Can bias toward younger staff for leadership roles. Try ""emerging leader""."
high potential youth,Ageism,Older workers,High,"Directly age coded. Try ""high potential employee""."
grey hair discount,Ageism,Older workers,High,"Discriminatory assumption about older workers value. Try ""experience valued""."
retirement risk,Ageism,Older workers,High,"Speculates about retirement to deny opportunities. Try ""succession planning""."
near retirement,Ageism,Older workers,High,"Directly age coded and discriminatory. Try ""tenure planning"" if needed."
set in their ways,Ageism,Older workers,Medium,"Stereotype that older workers resist change. Try ""change readiness"" with specifics."
old school mindset,Ageism,Older workers,Medium,"Stereotype that someone is outdated. Try ""prefers established processes""."
can you keep up,Ageism and ableism,Older workers and disabled workers,Medium,"Shames different pace or needs. Try ""clear expectations""."
needs more energy,Ageism,Older workers,Medium,"Coded bias about age and stamina. Try ""engagement and responsiveness"" with specifics."
not a long term fit,Ageism,Older workers,Medium,"Often used to exclude older hires. Try ""role alignment""."
too experienced for this level,Ageism,Older workers,Medium,"Coded rejection of senior candidates. Try ""scope mismatch""."
needs to modernize,Ageism,Older workers,Low,"Can imply age coded stereotypes. Try ""learn new tooling""."
legacy thinking,Ageism,Older workers,Medium,"Frames experience as outdated. Try ""prior approach""."
dinosaur mentality,Ageism,Older workers,High,"Insult implying obsolescence. Try ""needs training"" if factual."
needs to be more modern,Ageism,Older workers,Low,"Often vague and biased. Try ""specific skill gaps""."
able bodied candidate,Disability bias,Disabled workers,High,"Excludes disabled people explicitly. Try ""role essential functions""."
must walk the floor,Disability bias,Disabled workers,Medium,"May exclude mobility device users if not essential. Try ""can perform site visits""."
stand for long periods,Disability bias,Disabled workers,Medium,"May be discriminatory unless truly essential. Try ""physical requirements"" with clarity."
lift 50 pounds required,Disability bias,Disabled workers,Medium,"Common barrier when not essential. Try ""assistive tools available""."
no accommodations,Disability discrimination,Disabled workers,High,"Illegal and exclusionary. Try ""reasonable accommodations available""."
special needs person,Ableism,Disabled individuals,Medium,"Often considered patronizing. Try ""disabled person"" or ""person with a disability""."
confined to a wheelchair,Ableism,Wheelchair users,High,"Frames mobility device as imprisonment. Try ""wheelchair user""."
